發生時間,發生地點,死亡受傷人數,車種
104年01月04日 21時30分00秒,宜蘭縣冬山鄉冬山路三段 / 宜蘭縣冬山鄉永興路一段,死亡3;受傷2,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人
104年01月05日 01時00分00秒,臺南市東山區南100線道7公里700公尺處,死亡1;受傷0,自用-小客車
104年01月05日 07時30分00秒,雲林縣崙背鄉大成路42號前,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
104年01月05日 09時30分00秒,南投縣鹿谷鄉中正路二段 / 南投縣鹿谷鄉鹿彰路,死亡1;受傷0,自用-小客車;普通輕型-機車
104年01月05日 17時45分00秒,屏東縣屏東市崇武里華盛街 / 屏東縣屏東市崇武里華盛街,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
104年01月06日 05時09分00秒,苗栗縣竹南鎮大厝里10鄰真如路1之2號前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車
104年01月06日 15時03分00秒,彰化縣溪湖鎮興學街前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小客車
104年01月06日 18時17分00秒,臺中市西屯區福瑞里福科路 / 臺中市西屯區福瑞里福瑞街,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
104年01月07日 17時45分00秒,屏東縣屏東市忠孝路 / 屏東縣屏東市協和路,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
104年01月07日 17時52分00秒,嘉義縣番路鄉李厝3號,死亡1;受傷0,自用-小客車;行人-人
104年01月07日 19時42分00秒,臺南市東區大同路二段343號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車
104年01月07日 20時00分00秒,新竹市東區關東路153號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;乘客-人
104年01月08日 01時05分00秒,桃園市蘆竹區南榮里中正路 / 桃園市蘆竹區南榮里南竹路一段,死亡1;受傷0,行人-人;自用-小客車
104年01月08日 06時37分00秒,桃園市龜山區萬壽路一段前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月08日 09時05分00秒,新北市中和區連城路261號前0.0公尺,死亡1;受傷0,計程車-小客車;普通重型-機車
104年01月08日 10時35分00秒,高雄市岡山區嘉新西路前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車
104年01月08日 18時10分00秒,臺中市大甲區銅安里中山路二段985-1號前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車
104年01月09日 08時50分00秒,臺北市士林區,死亡1;受傷3,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車
104年01月09日 13時50分00秒,臺北市士林區至誠路2段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-小客車;自用-小客車
104年01月09日 14時20分00秒,苗栗縣竹南鎮國道3號 115公里500.0公尺處南向內側,死亡1;受傷1,自用-小客車;乘客-人
104年01月09日 18時50分00秒,新竹縣關西鎮國道3號 84公里100.0公尺處北向內側,死亡1;受傷1,營業用-半聯結車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);乘客-人
104年01月10日 00時30分00秒,嘉義縣中埔鄉富收村司同公路前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月10日 06時10分00秒,屏東縣佳冬鄉大安街與上隆路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車
104年01月10日 10時38分00秒,新竹市東區慈雲路慈雲路橋上E1-25路燈桿前,死亡1;受傷1,自用-小客車;大型重型2(250-550C.C.)-機車;大型重型1(550C.C.以上)-機車
104年01月10日 18時00分00秒,臺中市大甲區江南里經國路前0.0公尺,死亡1;受傷2,普通重型-機車;行人-人;普通重型-機車
104年01月10日 18時05分00秒,高雄市楠梓區聖雲街 / 高雄市楠梓區學專路口,死亡1;受傷0,行人-人;自用-小客車
104年01月10日 19時03分00秒,臺南市佳里區南37線道路2.6公里處,死亡1;受傷0,普通重型-機車;自用-大貨車
104年01月10日 19時47分00秒,花蓮縣新城鄉新城村亞洲水泥大門前以西400公尺處,死亡1;受傷0,普通重型-機車
104年01月11日 01時27分00秒,桃園市新屋區頭洲里高鐵南路六段112號前0.0公尺,死亡1;受傷0,普通重型-機車;遊覽車-大客車
104年01月11日 06時43分00秒,臺北市文山區,死亡1;受傷0,大型重型1(550C.C.以上)-機車
104年01月11日 09時48分00秒,新北市淡水區民權路3巷前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月11日 13時43分00秒,臺東縣台東市東海里新生路 / 臺東縣台東市東海里博愛路,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車
104年01月11日 14時15分00秒,苗栗縣銅鑼鄉台13線44.5公里北向車道,死亡1;受傷0,大型重型1(550C.C.以上)-機車;自用-小客車;自用-小客車;自用-小客車
104年01月12日 06時30分00秒,彰化縣大城鄉產業道路前0.0公尺,死亡1;受傷0,普通輕型-機車
104年01月12日 07時50分00秒,嘉義縣新港鄉164 25公里700.0公尺處西向慢,死亡1;受傷0,自用-小客車;普通重型-機車
104年01月12日 08時48分00秒,新竹縣新豐鄉中興路 / 新竹縣新豐鄉新興路,死亡1;受傷0,其他車-其他車;行人-人;自用-小客車
104年01月12日 16時20分00秒,臺中市大甲區日南里黎明路 / 臺中市大甲區日南里幼九路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
104年01月12日 23時38分00秒,苗栗縣竹南鎮龍山里龍山路二段 / 苗栗縣竹南鎮龍山里龍昇街,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車;自用-小客車;自用-小客車
104年01月13日 08時08分00秒,臺北市士林區 / 臺北市士林區忠誠路1段,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車
104年01月13日 11時35分00秒,新北市板橋區文化路2段前0.0公尺,死亡1;受傷0,動力機械-其他車;行人-人
104年01月14日 06時51分00秒,新竹縣竹北市中正西路725號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
104年01月14日 07時13分00秒,新北市三峽區佳興路前0.0公尺,死亡1;受傷0,自用-小客車;營業用-曳引車;自用-小客車
104年01月14日 11時04分00秒,新北市新店區中興路3段前0.0公尺,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車
104年01月14日 14時18分00秒,新北市淡水區關渡橋下機車引道前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月14日 15時28分00秒,新北市鶯歌區尖山路97號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車;乘客-人
104年01月14日 15時50分00秒,屏東縣屏東市堤頂道路、大洲橋頭,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
104年01月14日 17時35分00秒,彰化縣田中鎮福安路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
104年01月14日 22時59分00秒,花蓮縣瑞穗鄉台9 263公里100.0公尺處南向外側,死亡1;受傷2,自用-小客車;乘客-人;乘客-人
104年01月15日 02時16分00秒,新竹縣關西鎮竹118線約23.8公里處往西(關埔高幹59號),死亡1;受傷0,自用-大貨車;普通重型-機車
104年01月15日 05時40分00秒,臺中市西區公正里東興路三段前0.0公尺,死亡1;受傷0,計程車-小客車;行人-人
104年01月15日 09時35分00秒,嘉義縣水上鄉165 3公里650.0公尺處西向慢,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
104年01月15日 19時48分00秒,彰化縣員林鎮新生路 / 彰化縣員林鎮至善街,死亡1;受傷2,普通重型-機車;普通重型-機車;自用-小客車;乘客-人
104年01月15日 23時02分00秒,南投縣竹山鎮桂林里中山路42-6號前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月16日 00時35分00秒,桃園市新屋區台66線,死亡1;受傷0,營業用-曳引車
104年01月16日 03時57分00秒,臺中市清水區國道4號 5公里700.0公尺處西向外側,死亡2;受傷0,自用-小客車;營業用-半聯結車;乘客-人
104年01月16日 19時41分00秒,嘉義縣義竹鄉白路88電力桿產道,死亡1;受傷1,普通重型-機車;其他人-人
104年01月16日 22時30分00秒,新竹縣竹東鎮中興路4段與柯湖路口,死亡1;受傷0,普通重型-機車
104年01月17日 03時30分00秒,屏東縣新園鄉台17 254公里南向外側,死亡1;受傷0,普通重型-機車
104年01月17日 06時20分00秒,高雄市岡山區頂潭路前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車
104年01月17日 09時19分00秒,彰化縣溪州鄉下田路前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月17日 15時30分00秒,新北市樹林區中華路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
104年01月17日 15時37分00秒,彰化縣溪州鄉中山路前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月17日 17時43分00秒,南投縣信義鄉台21 92公里北向外側,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人
104年01月17日 18時08分00秒,苗栗縣銅鑼鄉樟樹村14鄰15之1號前,死亡1;受傷0,自用-小客車;行人-人
104年01月18日 06時35分00秒,臺中市南區福平里五權南路 / 臺中市南區福平里復興路三段,死亡1;受傷2,租賃車-小客車;普通重型-機車;乘客-人
104年01月18日 11時33分00秒,彰化縣福興鄉番花路1段前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
104年01月18日 15時57分00秒,新北市泰山區大科路68之號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
104年01月18日 20時50分00秒,臺中市太平區中山里中山路二段541巷前0.0公尺,死亡1;受傷0,普通輕型-機車
104年01月20日 06時10分00秒,臺南市中西區西門路 / 臺南市中西區成功路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
104年01月20日 08時20分00秒,臺中市龍井區麗水里中彰大橋路前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車
104年01月20日 11時02分00秒,新北市泰山區泰林路3段前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車
104年01月20日 17時50分00秒,桃園市大園區中正東路一段261巷99號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用)
104年01月20日 17時54分00秒,桃園市楊梅區秀才里秀才路112號前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
104年01月21日 06時21分00秒,臺南市歸仁區辜厝里中正南路一段230號前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月21日 09時04分00秒,宜蘭縣礁溪鄉191甲 900.0公尺處北向內側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
104年01月21日 15時46分00秒,桃園市龍潭區三坑里中正路三坑段石號前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月22日 05時32分00秒,臺中市沙鹿區鹿寮里民族路前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用)
104年01月22日 07時30分00秒,高雄市鼓山區南屏路 / 高雄市鼓山區至聖路口,死亡1;受傷0,自用-小客車;普通重型-機車
104年01月22日 18時04分00秒,屏東縣萬巒鄉新厝村沿山公路 / 屏東縣萬巒鄉新厝村中興路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
104年01月22日 18時30分00秒,雲林縣莿桐鄉大美村溪美路前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月23日 04時12分00秒,臺中市沙鹿區西勢里中清路七段前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人
104年01月23日 14時30分00秒,臺北市文山區,死亡1;受傷0,普通重型-機車;計程車-小客車
104年01月23日 15時41分00秒,南投縣草屯鎮御史里中正路1178巷前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
104年01月23日 17時02分00秒,臺中市西屯區協和里工業區二十六路9號前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月23日 18時09分00秒,彰化縣社頭鄉社石路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
104年01月23日 18時25分00秒,雲林縣林內鄉長源路前0.0公尺,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人
104年01月24日 02時15分00秒,臺南市南區明興路 / 臺南市南區明興路,死亡1;受傷0,普通重型-機車
104年01月24日 04時35分00秒,彰化縣伸港鄉中興路2段前0.0公尺,死亡1;受傷0,自用-小客車
104年01月24日 05時29分00秒,新北市雙溪區臺2丙線道路前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人
104年01月24日 07時58分00秒,高雄市路竹區北嶺六路 / 高雄市路竹區民治路,死亡1;受傷0,普通輕型-機車;自用-小客車
104年01月24日 09時29分00秒,桃園市桃園區大興西路三段前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
104年01月24日 11時42分00秒,嘉義市東區博愛路1段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車
104年01月24日 12時19分00秒,臺南市鹽水區華新高幹43號前叉路口(?鶴公司旁),死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
104年01月24日 15時24分00秒,南投縣名間鄉名山路50-3號旁,死亡1;受傷0,普通重型-機車;營業用-大貨車
104年01月24日 23時50分00秒,高雄市湖內區忠孝街前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車
104年01月25日 00時12分00秒,彰化縣彰化市大彰路前0.0公尺,死亡1;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人
104年01月25日 01時25分00秒,南投縣國姓鄉國道6號 15公里600.0公尺處西向外側路肩,死亡1;受傷0,自用-小客車
104年01月26日 05時00分00秒,臺中市東區十甲里旱溪東路一段540號前0.0公尺,死亡1;受傷1,租賃車-小客車;行人-人;行人-人
104年01月26日 05時40分00秒,彰化縣田尾鄉中正路1段前0.0公尺,死亡1;受傷1,自用-小客車;電動輔助自行車-慢車
104年01月26日 19時00分00秒,新北市樹林區柑園街1段12-號前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車;營業用-曳引車
104年01月26日 19時36分00秒,桃園市八德區廣德里新興路859號前0.0公尺,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);普通重型-機車
104年01月27日 07時55分00秒,臺南市下營區西連高幹8左6電桿前路口,死亡1;受傷0,自用-小客車;普通重型-機車
104年01月27日 09時36分00秒,臺北市信義區永吉路 / 臺北市信義區松信路,死亡1;受傷0,自用-大貨車;行人-人
104年01月27日 11時30分00秒,臺南市將軍區203號路燈前漁港聯外道路,死亡1;受傷0,普通輕型-機車;營業用-大貨車
104年01月27日 18時25分00秒,新北市蘆洲區中山二路46巷前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車
104年01月28日 09時18分00秒,臺北市大安區仁愛路 / 臺北市大安區建國南路,死亡1;受傷0,其他車-其他車;行人-人
104年01月28日 11時15分00秒,花蓮縣花蓮市重慶路 / 花蓮縣花蓮市明義街,死亡1;受傷1,自用-小客車;自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
104年01月28日 11時20分00秒,桃園市中壢區民權路三段407號前0.0公尺,死亡1;受傷0,普通輕型-機車
104年01月28日 14時50分00秒,高雄市大寮區光明路一段 / 高雄市大寮區潮興路口,死亡1;受傷0,普通重型-機車;自用-大貨車
104年01月28日 18時00分00秒,嘉義縣中埔鄉汴頭60號,死亡1;受傷0,電動輔助自行車-慢車;自用-小客車
104年01月29日 06時45分00秒,新竹市香山區,死亡1;受傷0,行人-人;火車-其他車
104年01月29日 18時36分00秒,臺東縣台東市新興里中華路一段 / 臺東縣台東市新興里新生路,死亡1;受傷0,自用-小客車;普通輕型-機車
104年01月30日 09時54分00秒,新北市新莊區中環路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
104年01月30日 16時55分00秒,臺中市大甲區江南里東西八路 / 臺中市大甲區江南里彈正路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
104年01月31日 18時10分00秒,高雄市鳳山區國泰路二段 / 高雄市鳳山區議會路口,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
104年02月01日 00時20分00秒,臺中市西屯區國道1號 177公里200.0公尺處南向內側,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車;乘客-人
104年02月01日 06時31分00秒,臺北市萬華區,死亡1;受傷0,普通重型-機車
104年02月01日 08時42分00秒,臺中市東區東橋里大智路 / 臺中市東區東橋里建德街,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
104年02月01日 15時00分00秒,臺北市中正區 / 臺北市中正區新生南路,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
104年02月01日 17時22分00秒,臺南市南區灣裡路 / 臺南市南區濱南路,死亡1;受傷0,普通重型-機車;自用-小客車
104年02月02日 05時48分00秒,新竹縣竹東鎮中興路二段258號前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車;自用-小客車
104年02月02日 06時05分00秒,臺南市玉井區臺20 37公里西向慢車道,死亡1;受傷0,普通重型-機車;營業用-曳引車
104年02月02日 21時40分00秒,高雄市鼓山區中華一路 / 高雄市鼓山區大順一路口,死亡1;受傷0,普通重型-機車
104年02月03日 05時50分00秒,新竹縣湖口鄉國道1號 76公里100.0公尺處南向內側,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人
104年02月03日 07時46分00秒,桃園市觀音區台66線7.6K處平面道路口,死亡1;受傷0,普通重型-機車;自用-小客車
104年02月03日 08時15分00秒,臺中市大雅區二和里雅潭路四段687號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
104年02月03日 10時00分00秒,桃園市大園區橫峰里中正東路340-2號前0.0公尺,死亡1;受傷0,行人-人;營業用-半聯結車
104年02月03日 13時00分00秒,臺中市龍井區忠和里西濱路三段 / 臺中市龍井區忠和里海尾路,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-半聯結車
104年02月03日 19時27分00秒,臺南市新市區環東路一段前0.0公尺,死亡1;受傷0,普通重型-機車
104年02月03日 19時57分00秒,宜蘭縣羅東鎮維揚路前0.0公尺,死亡1;受傷0,自用-小客車;自用-小客車;行人-人;自用-小客車
104年02月04日 07時52分00秒,臺中市沙鹿區興安里興安路 / 臺中市沙鹿區興安里永寧路,死亡1;受傷0,普通重型-機車;自用-小客車
104年02月04日 08時00分00秒,高雄市前鎮區中山四路 / 高雄市前鎮區金福路口,死亡1;受傷0,營業用-半聯結車;普通重型-機車
104年02月04日 09時45分00秒,新竹縣新豐鄉新庄路429號前0.0公尺,死亡1;受傷0,普通輕型-機車;營業用-半聯結車
104年02月04日 14時58分00秒,花蓮縣鳳林鎮中正路二段468號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人
104年02月04日 15時58分00秒,嘉義縣義竹鄉台19 96公里700.0公尺處北向內側,死亡1;受傷0,普通輕型-機車;自用-小客車
104年02月04日 16時45分00秒,苗栗縣大湖鄉台三線139K處,死亡1;受傷0,普通重型-機車;自用-大貨車
104年02月05日 01時40分00秒,新北市板橋區中山路1段206巷前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用)
104年02月05日 03時50分00秒,臺北市文山區國道3號 17公里300.0公尺處北向外側,死亡1;受傷0,營業用-半聯結車
104年02月05日 20時49分00秒,臺南市仁德區道路QO172FE23電箱處,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
104年02月05日 22時22分00秒,臺南市安南區安明路一段前0.0公尺,死亡1;受傷0,普通重型-機車
104年02月06日 13時05分00秒,高雄市苓雅區中華四路 / 高雄市苓雅區青年二路口,死亡1;受傷0,自用-大貨車;普通重型-機車
104年02月06日 20時00分00秒,雲林縣土庫鎮145線高鐵下方,死亡1;受傷1,普通重型-機車;行人-人
104年02月07日 01時38分00秒,新竹市東區國道1號 95公里200.0公尺處北向內側,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用)
104年02月07日 09時23分00秒,宜蘭縣宜蘭市中山路三段 / 宜蘭縣宜蘭市聖後街,死亡1;受傷0,自用-小客車;自用-小客車;自用-小客車;腳踏自行車-慢車
104年02月07日 12時12分00秒,新竹縣竹東鎮中興路三段360號前0.0公尺,死亡1;受傷0,普通重型-機車
104年02月07日 14時02分00秒,臺南市安定區海寮高幹64右1電線桿,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人
104年02月07日 16時16分00秒,新北市五股區成泰路1段8巷前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車
104年02月07日 20時31分00秒,臺中市南屯區豐樂里永春東二路前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車
104年02月07日 21時53分00秒,彰化縣大村鄉中正東路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;其他人-人
104年02月08日 02時23分00秒,桃園市八德區廣興里廣興路467號前0.0公尺,死亡1;受傷0,普通重型-機車
104年02月08日 02時32分00秒,臺南市新市區台1線南向316.5公里,死亡1;受傷1,自用-小客車;乘客-人
104年02月08日 17時40分00秒,苗栗縣大湖鄉台3線大湖農工路口,死亡1;受傷0,自用-小客車;普通重型-機車
104年02月08日 18時12分00秒,宜蘭縣頭城鎮濱海路台二線119公里北上,死亡1;受傷4,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人
104年02月08日 21時01分00秒,宜蘭縣宜蘭市嵐峰路一段 / 宜蘭縣宜蘭市健康路一段,死亡1;受傷1,普通重型-機車;自用-小客車;普通重型-機車
104年02月09日 05時00分00秒,南投縣竹山鎮鯉魚里鯉行路前0.0公尺,死亡1;受傷0,普通重型-機車
104年02月09日 11時36分00秒,嘉義縣東石鄉157線道與嘉14線道口,死亡1;受傷0,自用-小客車;普通輕型-機車
104年02月09日 17時50分00秒,高雄市橋頭區中崎路前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
104年02月10日 05時22分00秒,新北市蘆洲區環堤大道路前0.0公尺,死亡1;受傷0,民營客運-大客車;普通重型-機車
104年02月10日 07時55分00秒,桃園市中壢區興和里中豐北路 / 桃園市中壢區興和里大圳路,死亡1;受傷4,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人
104年02月10日 12時27分00秒,彰化縣社頭鄉,死亡1;受傷0,普通重型-機車;自用-小客車
104年02月11日 14時15分00秒,臺南市永康區南灣里大灣路367號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車
104年02月11日 22時50分00秒,臺北市中正區北平東路 / 臺北市中正區中山北路,死亡1;受傷0,自用-小客車;普通重型-機車
104年02月11日 23時40分00秒,臺中市南屯區新生里環中路 / 臺中市南屯區新生里五權西路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
104年02月12日 10時08分00秒,彰化縣溪湖鎮員鹿路 / 彰化縣溪湖鎮地政路,死亡1;受傷0,營業用-曳引車;普通輕型-機車
104年02月12日 11時48分00秒,屏東縣三地門鄉高山巷1號前,死亡1;受傷0,普通重型-機車
104年02月12日 19時38分00秒,屏東縣鹽埔鄉新二村彭厝路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車
104年02月12日 21時40分00秒,花蓮縣花蓮市府前路588號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車;自用-小客車
104年02月12日 22時06分00秒,南投縣魚池鄉台21線、文正巷口附近路旁,死亡1;受傷0,自用-小客車
104年02月13日 03時30分00秒,高雄市楠梓區楠梓路前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
104年02月13日 05時22分00秒,苗栗縣頭份鎮中正路 / 苗栗縣頭份鎮仁愛路,死亡1;受傷1,大型重型1(550C.C.以上)-機車;自用-小貨車(含客、貨兩用)
104年02月13日 06時55分00秒,高雄市燕巢區高鐵總廠路前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
104年02月13日 10時58分00秒,彰化縣社頭鄉,死亡1;受傷0,營業用-大貨車;普通重型-機車
104年02月13日 11時53分00秒,基隆市七堵區實踐路 / 基隆市七堵區福二街,死亡1;受傷0,普通重型-機車;營業用-半聯結車
104年02月13日 20時58分00秒,臺南市安南區安吉路三段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車
104年02月13日 21時00分00秒,新竹縣竹北市十興路一段616號前0.0公尺,死亡1;受傷0,普通重型-機車
104年02月13日 22時06分00秒,屏東縣九如鄉黃金路段,死亡1;受傷1,普通重型-機車;普通重型-機車
104年02月13日 22時15分00秒,臺中市大肚區頂街里大明三街前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
