發生時間,發生地點,死亡受傷人數,車種,經度,緯度
108年01月04日 09時45分00秒,宜蘭縣冬山鄉復興路東側 / 宜蘭縣冬山鄉新邦路東側,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.743560,24.670718
108年01月04日 12時53分00秒,雲林縣西螺鎮公館里雲71鄉道近公館橋,死亡1;受傷0,普通重型-機車,120.456418,23.744646
108年01月04日 13時39分32秒,屏東縣竹田鄉竹田鄉六巷村六巷三路與東西十一路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.511796,22.610478
108年01月04日 16時09分00秒,彰化縣埤頭鄉大湖村中央路 / 彰化縣埤頭鄉大湖村公館路,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.448207,23.874717
108年01月04日 17時45分00秒,新北市三重區環河北路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,121.490823,25.090759
108年01月04日 18時12分00秒,彰化縣和美鎮月眉里和港路 / 彰化縣和美鎮月眉里北辰路,死亡1;受傷0,拖車(架)-其他車;普通重型-機車,120.491260,24.123670
108年01月05日 04時33分00秒,高雄市左營區自由四路27號前0.0公尺前,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車,120.313541,22.680332
108年01月05日 09時15分00秒,新北市三重區車路頭街139巷1弄前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.484635,25.076559
108年01月05日 15時00分00秒,雲林縣古坑鄉舊草嶺公路草嶺79號電桿處,死亡1;受傷0,腳踏自行車-慢車,120.688592,23.605456
108年01月05日 19時30分50秒,新竹市北區東大路三段465號北側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車,120.939624,24.838828
108年01月06日 03時20分43秒,基隆市七堵區國道1號 3公里600.0公尺處南側,死亡1;受傷1,自用-小客車;乘客-人,121.679068,25.085872
108年01月06日 03時49分00秒,高雄市小港區大業南路54號前0.0公尺,死亡1;受傷0,普通重型-機車,120.369500,22.534650
108年01月06日 14時02分00秒,臺中市南屯區新生里環中路三段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-半聯結車;乘客-人,120.623173,24.150062
108年01月06日 15時03分00秒,高雄市鳥松區中正路293號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.364300,22.659630
108年01月06日 15時33分00秒,桃園市蘆竹區南崁路2段口 / 桃園市蘆竹區南工路口,死亡1;受傷0,普通重型-機車;民營公車-大客車,121.277834,25.057476
108年01月06日 19時10分21秒,新竹縣竹東鎮中豐路3段307號,死亡1;受傷0,行人-人;自用-小客車,121.079359,24.724161
108年01月07日 03時40分00秒,嘉義縣中埔鄉同仁村台3線291公里處,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.514799,23.413987
108年01月07日 09時37分54秒,臺南市七股區南25-1 7公里附近向路肩,死亡1;受傷0,普通重型-機車,120.093853,23.193591
108年01月07日 13時27分00秒,桃園市蘆竹區國道1號 50公里700.0公尺處南側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用);遊覽車-大客車,121.289960,25.032446
108年01月07日 17時20分18秒,臺南市新市區社內里新港社大道口 / 臺南市新市區社內里南科聯絡道口,死亡1;受傷0,自用-小客車;普通重型-機車,120.279948,23.067928
108年01月07日 22時53分00秒,新北市淡水區淡金路4段 / 新北市淡水區淡金路4段,死亡1;受傷1,普通重型-機車;普通重型-機車,121.453243,25.227272
108年01月08日 03時10分00秒,苗栗縣公館鄉沿山道和大東路,死亡1;受傷0,自用-小客車;營業用-曳引車,120.832316,24.500857
108年01月08日 07時00分00秒,高雄市橋頭區成功路12號前0.0公尺,死亡1;受傷0,普通重型-機車,120.309181,22.761359
108年01月08日 07時01分00秒,雲林縣西螺鎮七座里產業道路(11068786號電錶處),死亡1;受傷0,自用-小客車;普通重型-機車,120.444405,23.757400
108年01月08日 18時26分00秒,臺北市中山區自強隧道前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車,121.549518,25.085487
108年01月08日 19時05分00秒,嘉義市西區慶安里博愛路1段 / 嘉義市西區慶安里北興街,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.441645,23.483992
108年01月09日 06時03分00秒,高雄市仁武區鳳仁路263號前0.0公尺,死亡1;受傷1,自用-小客車;營業用-曳引車;乘客-人,120.345655,22.700179
108年01月09日 07時00分00秒,桃園市楊梅區中山南路口 / 桃園市楊梅區中山南路口,死亡1;受傷0,自用-大貨車;普通重型-機車,121.116293,24.897898
108年01月09日 07時14分08秒,臺南市仁德區文華路2段前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.231237,22.944605
108年01月09日 17時05分00秒,臺南市麻豆區寮廍里市道176線寮子廍166-17號前0.0公尺口,死亡1;受傷0,自用-大貨車;營業用-大貨車,120.278326,23.189759
108年01月09日 21時40分00秒,臺北市士林區中山北路6段前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車;自用-小貨車(含客、貨兩用),121.524607,25.106269
108年01月09日 23時26分00秒,彰化縣社頭鄉湳雅村山腳路3段679號前0.0公尺,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人;其他人-人,120.602155,23.926323
108年01月09日 23時43分00秒,新北市瑞芳區四腳亭埔路 / 新北市瑞芳區臺62線道路,死亡1;受傷0,營業用-曳引車,121.778027,25.102557
108年01月10日 04時13分00秒,高雄市大寮區188縣道萬大橋上橋號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.429474,22.592280
108年01月10日 08時14分00秒,桃園市桃園區中山路609號前0.0公尺北側,死亡1;受傷0,普通重型-機車;營業用-全聯結車;民營公車-大客車,121.294426,24.990906
108年01月10日 12時55分00秒,高雄市旗山區廣清路14-1號前0.0公尺前,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.509800,22.862550
108年01月10日 13時20分00秒,桃園市大園區環區西路545號號前0.0公尺附近,死亡1;受傷0,普通輕型-機車,121.193945,25.049263
108年01月10日 17時10分00秒,高雄市鳳山區善政街 / 高雄市鳳山區善志街,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.337079,22.602670
108年01月10日 18時38分00秒,臺北市內湖區環山路3段 / 臺北市內湖區環山路3段,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人;乘客-人,121.580085,25.084712
108年01月10日 18時50分00秒,雲林縣斗六市明德北路一段398號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.548172,23.718308
108年01月11日 05時26分00秒,雲林縣西螺鎮國道1號 230公里800.0公尺處北側向外側,死亡1;受傷0,自用-小客車;營業用-半聯結車;其他人-人;營業用-大貨車,120.472782,23.775474
108年01月11日 09時05分00秒,宜蘭縣蘇澳鎮蘇濱路口 / 宜蘭縣蘇澳鎮馬賽路口,死亡1;受傷0,普通重型-機車;自用-小客車,121.834675,24.625900
108年01月11日 09時36分00秒,臺中市北屯區松竹里崇德路二段321號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),120.686063,24.178273
108年01月11日 10時12分53秒,苗栗縣後龍鎮新港六路與豐富六路口,死亡1;受傷0,民營公車-大客車;普通重型-機車,120.820949,24.604039
108年01月11日 11時22分54秒,花蓮縣花蓮市民權路口 / 花蓮縣花蓮市民權八街口,死亡1;受傷0,普通重型-機車;自用-小客車,121.625749,23.987787
108年01月11日 15時59分00秒,臺中市清水區下湳里014鄰中山路446之08號前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.582754,24.283085
108年01月11日 16時35分00秒,彰化縣芳苑鄉台17線 50公里600.0公尺處南側向外側,死亡1;受傷1,普通重型-機車;乘客-人,120.341811,23.965760
108年01月11日 21時42分00秒,新北市泰山區泰林路 / 新北市泰山區新北大道,死亡1;受傷0,自用-小客車;普通重型-機車,121.429309,25.063350
108年01月11日 23時39分01秒,花蓮縣壽豐鄉中華路二段(和榮橋北端),死亡1;受傷0,普通重型-機車,121.520318,23.880646
108年01月12日 00時00分00秒,新北市板橋區民生路2段前0.0公尺,死亡1;受傷0,普通重型-機車,121.471450,25.020326
108年01月12日 01時07分00秒,高雄市前鎮區瑞隆路 / 高雄市前鎮區永豐路,死亡1;受傷0,自用-小客車;行人-人,120.333588,22.605671
108年01月12日 12時26分00秒,臺中市太平區宜佳里新平路二段125巷14號前0.0公尺,死亡1;受傷0,動力機械-其他車;其他人-人,120.714284,24.138817
108年01月12日 13時05分00秒,新北市三峽區復興路120號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.372332,24.937990
108年01月12日 14時19分00秒,新北市新店區國道3號 29公里100.0公尺處南側向內側,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人;乘客-人,121.539365,24.958751
108年01月12日 14時40分00秒,臺南市安平區安北路口 / 臺南市安平區州平路口,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.144498,22.996091
108年01月12日 19時09分00秒,新北市土城區中央路4段213號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.413873,24.955711
108年01月12日 19時13分55秒,臺中市神岡區國道1號 168公里500.0公尺處北側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車,120.689749,24.244086
108年01月13日 02時33分00秒,嘉義縣水上鄉國道1號 272公里300.0公尺處南側向中線,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;乘客-人,120.358876,23.431245
108年01月13日 05時26分37秒,苗栗縣苑裡鎮房裡里中山路與忠信街路口,死亡1;受傷0,自用-小客車;行人-人,120.647394,24.434180
108年01月13日 05時50分00秒,屏東縣枋寮鄉中山路與中華路口,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.596731,22.381900
108年01月13日 11時40分45秒,新竹縣寶山鄉科環路段,死亡1;受傷0,腳踏自行車-慢車,121.008339,24.765243
108年01月13日 14時20分00秒,臺南市南化區台20線 48公里600.0公尺處西側向路肩,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.530795,23.076731
108年01月13日 16時04分00秒,桃園市新屋區東興路2段1788號前0.0公尺附近,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.034688,25.014291
108年01月13日 16時50分00秒,嘉義縣民雄鄉菁埔村菁埔1之10號,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.408234,23.558945
108年01月13日 17時34分00秒,高雄市仁武區澄觀路2段 / 高雄市仁武區澄觀路2段,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.364200,22.712030
108年01月13日 18時05分10秒,南投縣中寮鄉龍南路77-4號,死亡1;受傷1,普通重型-機車;行人-人,120.774332,23.941834
108年01月13日 18時12分00秒,臺北市士林區延平北路5段 / 臺北市士林區葫蘆街,死亡1;受傷1,普通重型-機車;行人-人,121.510881,25.080026
108年01月13日 19時30分22秒,宜蘭縣冬山鄉珍珠ㄧ路73號前0.0公尺附近,死亡1;受傷0,自用-小客車,121.783773,24.654037
108年01月14日 02時27分00秒,臺北市內湖區成功路5段前0.0公尺,死亡1;受傷0,自用-小客車,121.607209,25.081066
108年01月14日 04時18分00秒,臺南市玉井區台3線 376公里300.0公尺處南側,死亡2;受傷1,自用-小客車;農耕用車(或機械)-其他車;乘客-人,120.480341,23.104500
108年01月14日 08時00分12秒,臺南市後壁區菁豐里區道南84線前0.0公尺口,死亡1;受傷0,普通重型-機車;自用-小客車,120.356430,23.382379
108年01月14日 09時10分00秒,臺中市梧棲區永寧里永興路一段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.542404,24.226379
108年01月14日 17時28分14秒,雲林縣麥寮鄉三盛村工業路590巷,死亡1;受傷1,自用-小客車;普通重型-機車,120.252897,23.795116
108年01月14日 21時33分00秒,高雄市楠梓區大學十街 / 高雄市楠梓區高雄大學路,死亡1;受傷1,自用-小客車;普通重型-機車,120.285280,22.725537
108年01月15日 08時30分34秒,臺南市白河區秀祐里市道172線前0.0公尺西側,死亡1;受傷0,自用-小客車;營業用-大貨車,120.395981,23.347046
108年01月15日 12時42分00秒,臺北市北投區行義路154巷前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.528254,25.130503
108年01月15日 15時56分00秒,新北市板橋區板林路 / 新北市板橋區滿平街,死亡1;受傷1,普通輕型-機車;行人-人,121.426390,24.990655
108年01月15日 17時00分00秒,新北市蘆洲區長榮路 / 新北市蘆洲區永康街,死亡1;受傷1,普通重型-機車;普通重型-機車,121.463770,25.082184
108年01月15日 18時15分44秒,南投縣竹山鎮延和里集山路3段南側 / 南投縣竹山鎮延和里鹿山路東側,死亡1;受傷0,自用-小客車;普通輕型-機車,120.693307,23.761296
108年01月15日 21時34分00秒,臺中市西屯區何仁里文心路三段119號前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車,120.655145,24.168831
108年01月16日 05時18分00秒,臺中市大里區大里里大里路432號前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人,120.675290,24.097790
108年01月16日 05時30分00秒,臺中市大安區中庄里南安路88號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-全聯結車,120.581465,24.350113
108年01月16日 12時15分00秒,桃園市平鎮區台66線 19公里西側向中內,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.205057,24.928902
108年01月16日 13時20分00秒,高雄市仁武區澄觀路1段文武0974燈號前0.0公尺,死亡1;受傷0,普通重型-機車,120.359262,22.698507
108年01月16日 19時12分08秒,桃園市大溪區瑞安路2段口 / 桃園市大溪區瑞安路2段口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小客車,121.281663,24.872455
108年01月16日 20時15分00秒,臺中市豐原區豐田里豐原大道三段286巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.728986,24.237926
108年01月16日 22時46分00秒,新北市淡水區民權路 / 新北市淡水區民權路,死亡1;受傷1,計程車-小客車;普通重型-機車,121.459237,25.133559
108年01月17日 05時43分00秒,臺中市西區藍興里三民路一段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.668893,24.132052
108年01月17日 06時15分23秒,屏東縣枋寮鄉台17線 272公里700.0公尺處南側,死亡1;受傷0,租賃車-小客車,120.591008,22.391132
108年01月17日 08時59分00秒,新北市板橋區光環路1段 / 新北市板橋區光中路,死亡1;受傷0,自用-小客車;行人-人,121.483964,25.017654
108年01月17日 11時35分00秒,宜蘭縣蘇澳鎮台2線 165公里54.0公尺處北側向中線,死亡1;受傷0,自用-小客車;自用-大貨車,121.855657,24.609150
108年01月17日 11時47分00秒,新竹縣竹北市華興街與華興街357巷口,死亡1;受傷1,普通重型-機車;乘客-人;自用-小客車,120.998813,24.836371
108年01月17日 18時06分00秒,高雄市橋頭區村南溝路2段仕和039電桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.304870,22.750168
108年01月17日 19時27分00秒,臺中市后里區公館里三豐路五段716巷前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.732140,24.341434
108年01月17日 20時23分00秒,新北市板橋區環河西路5段 / 新北市板橋區板城路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.485541,25.022253
108年01月18日 00時47分58秒,苗栗縣西湖鄉國道3號 136公里100.0公尺處南側,死亡1;受傷2,營業用-半聯結車;營業用-半聯結車;營業用-大貨車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;營業用-大貨車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),120.750308,24.553714
108年01月18日 01時16分50秒,南投縣竹山鎮集山路三段14號前,死亡1;受傷0,普通重型-機車,120.706305,23.767007
108年01月18日 07時54分00秒,桃園市大溪區復興路1段口 / 桃園市大溪區頭寮一路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.288603,24.841551
108年01月18日 08時56分00秒,臺北市大安區和平東路3段60號前0.0公尺,死亡1;受傷0,租賃車-小客車;營業用-曳引車;普通重型-機車,121.549091,25.024376
108年01月18日 11時30分00秒,基隆市安樂區湖海路二段編號68506燈桿處,死亡1;受傷0,普通重型-機車,121.720409,25.163811
108年01月18日 12時11分00秒,雲林縣西螺鎮河南里興農西路與頂茄塘路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.435377,23.793404
108年01月18日 13時00分00秒,彰化縣芳苑鄉三成村小西路前0.0公尺,死亡1;受傷3,自用-小貨車(含客、貨兩用);自用-小客車;行人-人;乘客-人,120.315160,23.881973
108年01月18日 13時22分46秒,苗栗縣竹南鎮開元里開元路與開元路487巷口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.867611,24.679311
108年01月19日 03時10分52秒,臺南市東區中華東路1段口 / 臺南市東區小東路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.234787,22.998340
108年01月19日 17時36分05秒,雲林縣麥寮鄉六輕聯絡道,死亡1;受傷0,自用-小客車,120.256692,23.818222
108年01月19日 18時43分00秒,雲林縣林內鄉重興村重興185-6號前,死亡1;受傷0,自用-小客車;普通重型-機車,120.574767,23.767547
108年01月19日 18時50分00秒,屏東縣萬丹鄉上村村和平西路口 / 屏東縣萬丹鄉上村村大圳路口,死亡2;受傷0,普通重型-機車;自用-小客車;乘客-人,120.476330,22.593272
108年01月19日 20時35分00秒,彰化縣溪湖鎮東寮里彰水路4段60號前0.0公尺前,死亡1;受傷0,自用-小客車;行人-人,120.480065,23.966727
108年01月20日 04時27分00秒,高雄市左營區民族一路928之1號前0.0公尺前,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.317481,22.672010
108年01月20日 05時53分00秒,臺中市西區忠明里臺灣大道前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.663759,24.154618
108年01月20日 11時45分00秒,彰化縣埔心鄉東門村中正路1段322號前0.0公尺前,死亡1;受傷1,行人-人;普通重型-機車,120.543464,23.951447
108年01月20日 14時05分00秒,花蓮縣秀林鄉台8線 167公里600.0公尺處東側向路肩,死亡1;受傷0,大型重型1(550C.C.以上)-機車,121.488821,24.208908
108年01月20日 19時33分00秒,桃園市平鎮區建明路1段269巷前0.0公尺口,死亡1;受傷1,普通重型-機車;行人-人,121.238561,24.917400
108年01月21日 07時33分00秒,臺中市南屯區中和里南光路前0.0公尺,死亡1;受傷0,電動輔助自行車-慢車;自用-小貨車(含客、貨兩用),120.625239,24.115308
108年01月21日 11時09分00秒,彰化縣秀水鄉安東村彰水路1段340號前100.0公尺南側,死亡1;受傷1,普通重型-機車;行人-人,120.506099,24.042727
108年01月21日 17時33分00秒,花蓮縣富里鄉81縣道1.4公里,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.227857,23.145266
108年01月21日 19時50分00秒,澎湖縣馬公市縣204線 3公里970.0公尺處西側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),119.614248,23.550533
108年01月21日 20時36分00秒,高雄市三民區民族一路58號前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小客車,120.314493,22.641737
108年01月21日 21時49分00秒,屏東縣麟洛鄉中山路66號前,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.532602,22.644398
108年01月22日 01時05分00秒,臺北市文山區羅斯福路5段50號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.538115,25.007997
108年01月22日 05時43分00秒,新北市三重區重新路4段 / 新北市三重區集美街,死亡1;受傷0,自用-小客車;行人-人,121.487227,25.057126
108年01月23日 07時30分00秒,屏東縣萬巒鄉成德村保安路11-6號前,死亡1;受傷0,普通重型-機車,120.614055,22.620445
108年01月23日 08時21分23秒,臺南市北區中華北路1段西側 / 臺南市北區安明路觀海橋北側,死亡2;受傷0,營業用-大貨車;普通輕型-機車;乘客-人,120.184769,23.011716
108年01月23日 14時55分00秒,臺中市潭子區福仁里中山路前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,120.703441,24.200853
108年01月23日 16時50分00秒,南投縣埔里鎮仁愛路25號前,死亡1;受傷1,普通重型-機車;普通重型-機車,120.964023,23.967875
108年01月23日 17時11分10秒,嘉義縣太保市新埤里台18線道3.2公里與產業道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.344306,23.479602
108年01月23日 18時05分00秒,臺北市內湖區潭美街195號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.584134,25.055568
108年01月23日 18時55分21秒,桃園市蘆竹區南竹路2段125號號前0.0公尺南側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.284277,25.041105
108年01月23日 19時48分00秒,新北市蘆洲區捷運機廠門口附近,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人;乘客-人,121.457156,25.091173
108年01月23日 22時50分00秒,臺中市大里區大元里環中東路七段前0.0公尺,死亡3;受傷3,自用-小貨車(含客、貨兩用);計程車-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,120.687623,24.094668
108年01月24日 02時14分00秒,臺中市西屯區何南里臺灣大道二段825號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.652594,24.160774
108年01月24日 09時05分10秒,雲林縣口湖鄉過港村過港路124號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.189237,23.569559
108年01月24日 09時45分00秒,宜蘭縣南澳鄉台9丁線15公里900公尺,死亡1;受傷0,營業用-曳引車,121.841555,24.521640
108年01月24日 10時27分00秒,臺南市新化區山脚里省道臺19甲線頂山腳53之20號前0.0公尺口,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.309089,23.019013
108年01月24日 10時56分53秒,桃園市中壢區月眉路2段176號前0.0公尺,死亡1;受傷0,普通重型-機車,121.182234,25.006139
108年01月24日 12時15分00秒,彰化縣埔鹽鄉瓦󿾨村光明路2段167-4號前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.469026,24.010443
108年01月24日 17時17分00秒,高雄市彌陀區光和路2-5號前0.0公尺前,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,120.245678,22.783876
108年01月24日 19時52分00秒,雲林縣水林鄉雲164公路(水林27號電桿旁),死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.237606,23.572009
108年01月24日 21時15分00秒,嘉義縣六腳鄉六腳村六腳5號前,死亡1;受傷0,普通重型-機車,120.254164,23.506014
108年01月25日 06時06分27秒,臺南市麻豆區海埔里市道171線大山腳1之12號前0.0公尺西側,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.222126,23.191050
108年01月25日 07時49分00秒,新北市鶯歌區堤外道路前0.0公尺,死亡1;受傷2,大型重型2(250-550C.C.)-機車;普通重型-機車;乘客-人,121.350000,24.950000
108年01月25日 09時40分03秒,屏東縣新園鄉新園村新南路360號,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.454031,22.525527
108年01月25日 10時54分00秒,臺南市北區和緯路1段口 / 臺南市北區旭日街,死亡1;受傷0,普通重型-機車;民營客運-大客車,120.210433,23.010733
108年01月25日 12時05分35秒,宜蘭縣大同鄉樂水村宜51縣道10.5公里前方50公尺處,死亡1;受傷0,普通重型-機車;自用-小客車,121.541854,24.610954
108年01月25日 12時17分00秒,桃園市新屋區大坡里大坡路362號前50.0公尺附近,死亡1;受傷0,普通重型-機車,121.057167,24.959107
108年01月25日 12時24分39秒,苗栗縣竹南鎮海口里西濱公路93公里往北慢車道,死亡1;受傷0,營業用-全聯結車;普通重型-機車,120.847094,24.680638
108年01月25日 14時56分27秒,臺中市外埔區國道3號 167公里700.0公尺處南側向內側,死亡1;受傷0,自用-小客車;自用-小客車;自用-小客車,120.648534,24.339139
108年01月25日 15時50分48秒,苗栗縣後龍鎮東明里頂浮尾40-8號附近,死亡1;受傷0,自用-小客車;普通重型-機車,120.799095,24.630524
108年01月25日 18時11分00秒,雲林縣土庫鎮埤腳里扶朝土地公廟旁,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.360751,23.674720
108年01月25日 19時25分00秒,臺東縣池上鄉縣197線 9公里100.0公尺處附近,死亡1;受傷0,自用-大貨車,121.202091,23.053620
108年01月25日 21時00分00秒,屏東縣屏東市和生路一段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.498315,22.655161
108年01月26日 04時35分00秒,新竹市香山區延平路二段817-2號,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.922968,24.808777
108年01月26日 08時38分18秒,苗栗縣苑裡鎮中山路與天下路口,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.650470,24.440455
108年01月26日 13時09分59秒,嘉義縣太保市過溝里瓦厝45之15號前,死亡2;受傷0,自用-小客車;乘客-人,120.350124,23.490907
