發生時間,發生地點,死亡受傷人數,車種
106年01月07日 23時25分00秒,桃園市八德區國道2號 13公里650.0公尺處東向中線,死亡1;受傷4,自用-小客車;自用-小貨車(含客、貨兩用);自用-大貨車;乘客-人;乘客-人;乘客-人
106年01月08日 01時07分00秒,臺中市霧峰區甲寅里民生路156-13號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-小客車;自用-小客車
106年01月08日 20時05分00秒,彰化縣鹿港鎮頂厝巷 / 彰化縣鹿港鎮鹿東路,死亡1;受傷0,普通重型-機車;自用-小客車
106年01月08日 20時35分00秒,屏東縣長治鄉南二高下平面道路與和平路口,死亡1;受傷0,計程車-小客車;普通重型-機車
106年01月09日 07時36分00秒,新北市三峽區介壽路498號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
106年01月09日 15時51分00秒,雲林縣崙背鄉產業道路十字路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
106年01月10日 09時05分00秒,高雄市新興區七賢林森路口前0.0公尺,死亡1;受傷0,公營公車-大客車;大型重型1(550C.C.以上)-機車
106年01月10日 11時49分00秒,宜蘭縣宜蘭市舊城南路 / 宜蘭縣宜蘭市光復路,死亡1;受傷0,自用-小客車;普通重型-機車
106年01月10日 21時35分00秒,桃園市龜山區文化一路前0.0公尺,死亡1;受傷1,民營公車-大客車;普通重型-機車;乘客-人
106年01月10日 22時18分00秒,臺南市北區西門路四段 / 臺南市北區西門路四段,死亡1;受傷1,普通重型-機車;行人-人
106年01月11日 01時00分00秒,南投縣竹山鎮延祥里鹿山路361號前0.0公尺,死亡1;受傷0,普通重型-機車
106年01月11日 03時35分00秒,高雄市三民區博愛一路前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
106年01月11日 08時11分00秒,彰化縣福興鄉彰鹿路7段前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車
106年01月11日 15時30分00秒,金門縣金湖鎮南機路 / 金門縣金湖鎮三多路,死亡1;受傷0,普通重型-機車;租賃車-小客車
106年01月11日 21時20分00秒,屏東縣新園鄉興安路與興中路口,死亡1;受傷0,普通重型-機車
106年01月12日 00時35分00秒,花蓮縣新城鄉台9 185公里800.0公尺處北向內側,死亡1;受傷5,自用-小客車;營業用-曳引車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
106年01月12日 02時25分00秒,臺北市北投區大業路527巷前0.0公尺,死亡1;受傷0,普通重型-機車
106年01月12日 04時36分00秒,新北市板橋區三民路2段居仁巷前0.0公尺,死亡1;受傷0,計程車-小客車;行人-人
106年01月12日 05時10分00秒,宜蘭縣頭城鎮頭濱路二段540號前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
106年01月12日 05時49分00秒,雲林縣虎尾鎮文科路與台糖鐵道路口,死亡1;受傷0,普通重型-機車;自用-小客車
106年01月12日 05時50分00秒,屏東縣萬丹鄉萬順路一段36號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
106年01月12日 06時50分00秒,新北市中和區中正路前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
106年01月12日 08時05分00秒,嘉義縣民雄鄉嘉義縣民雄鄉,死亡1;受傷0,普通輕型-機車;火車-其他車
106年01月12日 23時28分00秒,新竹縣湖口鄉工業二路前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
106年01月13日 05時49分00秒,新北市中和區環河西路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
106年01月13日 11時50分00秒,臺南市新化區竹子腳-竹仔支45右8右引4號電幹以東42.2公尺處,死亡1;受傷0,普通重型-機車
106年01月13日 18時01分00秒,臺北市文山區興隆路3段163巷3號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小客車
106年01月14日 05時51分00秒,屏東縣竹田鄉美崙村龍崗路111號前0.0公尺,死亡1;受傷0,計程車-小客車
106年01月14日 14時27分00秒,新北市三峽區弘道路前0.0公尺,死亡2;受傷0,其他特種車-特種車;普通重型-機車;乘客-人
106年01月15日 10時35分00秒,雲林縣麥寮鄉工業路520巷1號,死亡4;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用)
106年01月15日 21時58分00秒,彰化縣埤頭鄉國道1號 217公里400.0公尺處北向外側路肩,死亡1;受傷0,自用-小客車;營業用-半聯結車;乘客-人
106年01月16日 07時45分00秒,彰化縣埔心鄉中正路2段 / 彰化縣埔心鄉興霖路,死亡1;受傷0,動力機械-其他車;普通重型-機車
106年01月16日 20時55分00秒,苗栗縣公館鄉國道1號 132公里500.0公尺處南向外側,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
106年01月17日 04時54分00秒,桃園市八德區國道2號 16公里300.0公尺處東向內側,死亡1;受傷4,自用-小客車;計程車-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人
106年01月17日 05時25分00秒,屏東縣里港鄉過江路前0.0公尺,死亡1;受傷0,營業用-大貨車;行人-人
106年01月17日 05時55分00秒,新北市汐止區大同路2段211號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
106年01月17日 09時11分00秒,澎湖縣湖西鄉澎15號 2公里50.0公尺處東向外側,死亡1;受傷1,普通重型-機車;行人-人
106年01月17日 11時18分00秒,新竹市香山區牛埔東路 / 新竹市香山區牛埔南路,死亡1;受傷0,營業用-全聯結車;普通重型-機車
106年01月17日 12時34分00秒,臺中市北屯區松竹里崇德路二段 / 臺中市北屯區松竹里崇德五路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
106年01月17日 13時41分00秒,臺中市大雅區雅楓里神林南路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通輕型-機車
106年01月17日 19時52分00秒,嘉義縣新港鄉145甲線崙子大橋上南向車道,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車
106年01月18日 05時43分00秒,臺中市西區忠明里臺灣大道 / 臺中市西區忠明里健行路,死亡1;受傷0,自用-小客車;行人-人
106年01月18日 08時25分00秒,臺中市北區錦平里三民路三段 / 臺中市北區錦平里育才北路,死亡1;受傷1,普通重型-機車;行人-人
106年01月18日 08時32分00秒,桃園市桃園區永安路1288號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
106年01月18日 14時02分00秒,嘉義縣竹崎鄉159 27公里200.0公尺處西向外側,死亡1;受傷1,自用-小客車;乘客-人
106年01月18日 15時00分00秒,屏東縣新園鄉南龍村南興路前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車
106年01月18日 23時11分00秒,新北市板橋區臺65線道路前0.0公尺,死亡1;受傷4,自用-小客車;計程車-小客車;乘客-人;乘客-人;乘客-人
106年01月19日 15時20分00秒,臺南市佳里區興化高幹33左8C3號前路口(南23線),死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人
106年01月20日 17時15分00秒,臺東縣成功鎮新生路與民族路路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通輕型-機車
106年01月21日 04時03分00秒,臺南市歸仁區七甲里中正北路二段30號前0.0公尺,死亡1;受傷0,普通重型-機車
106年01月21日 16時39分00秒,新北市八里區中山路3段383號前0.0公尺,死亡1;受傷0,大型重型2(250-550C.C.)-機車;營業用-曳引車
106年01月22日 01時52分00秒,高雄市大寮區台二十九縣路光華路號前0.0公尺,死亡1;受傷0,自用-小客車
106年01月22日 03時05分00秒,新竹市北區東大路三段403巷前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
106年01月22日 03時05分00秒,雲林縣水林鄉後寮村新興南路(後寮埔橋旁),死亡1;受傷0,自用-小貨車(含客、貨兩用)
106年01月22日 08時40分00秒,屏東縣崁頂鄉中正路171號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
106年01月22日 21時46分00秒,南投縣南投市南崗一路 / 南投縣南投市南崗一路,死亡1;受傷0,營業用-大貨車;普通重型-機車
106年01月23日 07時53分00秒,臺南市安南區府安堤頂大道路前0.0公尺,死亡1;受傷0,普通重型-機車
106年01月23日 08時45分00秒,臺東縣台東市更生路353號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車
106年01月23日 18時20分00秒,嘉義縣竹崎鄉勝源35號附近產業道路,死亡1;受傷0,自用-小貨車(含客、貨兩用)
106年01月24日 04時05分00秒,嘉義縣水上鄉崎子頭1之130號前,死亡1;受傷0,行人-人;自用-小客車
106年01月24日 04時56分00秒,桃園市平鎮區中豐路432巷前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人
106年01月24日 06時08分00秒,雲林縣虎尾鎮林森路一段(中正國小),死亡1;受傷0,腳踏自行車-慢車;自用-小客車
106年01月25日 06時46分00秒,花蓮縣壽豐鄉,死亡1;受傷0,行人-人;火車-其他車
106年01月25日 06時53分00秒,臺北市大安區市民大道3段前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
106年01月25日 08時27分00秒,臺中市豐原區東湳里三豐路二段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車
106年01月25日 16時03分00秒,臺南市南區金華路一段417號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;自用-小貨車(含客、貨兩用);普通重型-機車
106年01月26日 23時00分00秒,桃園市平鎮區國道1號 62公里400.0公尺處南向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-小客車
106年01月27日 08時00分00秒,新北市坪林區無名路前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車;營業用-大貨車
106年01月27日 18時45分00秒,嘉義縣鹿草鄉163 22公里800.0公尺處北向外側,死亡1;受傷0,計程車-小客車;行人-人
106年01月28日 01時40分00秒,屏東縣萬丹鄉萬順路(222號橋墩附近)西向,死亡1;受傷0,普通重型-機車
106年01月28日 07時28分00秒,臺中市豐原區朴子里豐勢路二段965巷前0.0公尺,死亡1;受傷0,普通重型-機車;計程車-小客車
106年01月28日 15時25分00秒,彰化縣田尾鄉四維巷 / 彰化縣田尾鄉建平路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
106年01月28日 16時21分00秒,花蓮縣吉安鄉吉安路六段678號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
106年01月28日 18時19分00秒,屏東縣內埔鄉隘寮村清涼路一段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
106年01月28日 18時21分00秒,臺南市鹽水區南3線(5公里處西向)孫厝高幹30號西側,死亡1;受傷0,普通重型-機車;自用-小客車
106年01月28日 23時05分00秒,南投縣埔里鎮中正路1077號前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
106年01月29日 23時27分00秒,臺北市萬華區萬大路489號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
106年01月30日 03時35分00秒,花蓮縣花蓮市化道路與中美二街口(美崙所),死亡1;受傷0,其他慢車-慢車;自用-小客車
106年01月30日 17時56分00秒,臺北市信義區福德街231號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
106年01月31日 10時20分00秒,臺南市學甲區臺84線9.1公里宅港交流道西向下匝道出口處分向島,死亡1;受傷0,自用-小客車
106年01月31日 11時25分00秒,臺南市北區公園北路153巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
106年01月31日 15時29分00秒,新竹縣竹東鎮新中正橋往台68線匝道口附近,死亡1;受傷0,其他特種車-特種車;普通重型-機車;自用-小客車
106年02月01日 18時15分00秒,桃園市八德區和平路 / 桃園市八德區和強路,死亡1;受傷0,自用-小客車;普通重型-機車
106年02月02日 19時52分00秒,花蓮縣吉安鄉知卡宣大道三段 / 花蓮縣吉安鄉永興四街,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
106年02月03日 00時52分00秒,新北市樹林區三俊街前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
106年02月03日 01時38分00秒,花蓮縣玉里鎮193 109公里700.0公尺處北向外側,死亡1;受傷2,自用-小貨車(含客、貨兩用);乘客-人;乘客-人
106年02月03日 06時45分00秒,南投縣南投市嘉和里彰南路一段192號前0.0公尺,死亡1;受傷0,普通重型-機車
106年02月03日 23時15分00秒,臺南市南區灣裡路 / 臺南市南區省躬三街,死亡1;受傷0,普通重型-機車
106年02月04日 02時35分00秒,桃園市新屋區社子里中興路600號前0.0公尺,死亡1;受傷0,普通重型-機車
106年02月04日 06時19分00秒,苗栗縣三義鄉台13線雙湖高架橋往銅鑼方向100公尺處,死亡1;受傷2,普通重型-機車;行人-人;行人-人;自用-小客車;自用-小貨車(含客、貨兩用)
106年02月05日 06時28分00秒,彰化縣埤頭鄉溪林路前0.0公尺,死亡1;受傷1,自用-小客車;農耕用車(或機械)-其他車
106年02月05日 07時16分00秒,嘉義縣東石鄉台61 257公里400.0公尺處南向外側,死亡1;受傷0,大型重型2(250-550C.C.)-機車
106年02月05日 14時16分00秒,新竹市香山區中華路五段289號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人
106年02月05日 18時00分00秒,臺中市南區江川里五權南路 / 臺中市南區江川里美村路二段,死亡1;受傷0,行人-人;自用-小客車
106年02月05日 22時35分00秒,屏東縣屏東市安鎮里建國路 / 屏東縣屏東市安鎮里和生路三段,死亡1;受傷0,自用-小客車;普通重型-機車
106年02月06日 09時45分00秒,臺南市善化區文正里興農路 / 臺南市善化區文正里烏橋中路,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車
106年02月06日 19時03分00秒,臺南市六甲區南60鄉道林鳳營217號前,死亡1;受傷0,普通重型-機車
106年02月07日 01時58分00秒,臺北市松山區民權東路4段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
106年02月07日 03時05分00秒,臺中市北屯區同榮里環中路一段 / 臺中市北屯區同榮里更生巷,死亡1;受傷0,自用-小客車
106年02月07日 05時46分00秒,臺中市西屯區西安里逢甲路 / 臺中市西屯區西安里逢明街,死亡1;受傷1,租賃車-小客車;行人-人;腳踏自行車-慢車
106年02月07日 12時53分00秒,彰化縣溪州鄉中山路2段 / 彰化縣溪州鄉三戶巷,死亡1;受傷0,普通重型-機車;民營客運-大客車
106年02月07日 19時59分00秒,臺北市中山區民族東路前0.0公尺,死亡1;受傷0,普通重型-機車
106年02月07日 23時34分00秒,臺南市玉井區臺3線371.7公里處北上外側路肩(?吧哖東路502號),死亡1;受傷4,自用-小客車;其他人-人;乘客-人;乘客-人;乘客-人
106年02月08日 05時56分00秒,臺南市七股區臺17線公路與南31之1線路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
106年02月08日 08時02分00秒,花蓮縣花蓮市中強街與成功街口西向北車道〈中正所轄區〉,死亡1;受傷0,自用-小客車;普通重型-機車
106年02月08日 08時18分00秒,屏東縣里港鄉塔樓路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
106年02月08日 18時07分00秒,雲林縣崙背鄉156縣道近7.3公里東向車道,死亡1;受傷0,自用-小客車;普通輕型-機車
106年02月09日 07時05分00秒,雲林縣麥寮鄉產業道路近電桿(圳寮67號),死亡1;受傷0,自用-小客車;普通重型-機車
106年02月09日 07時42分00秒,臺南市東區東門路三段110號前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車;民營客運-大客車
106年02月09日 13時30分00秒,雲林縣虎尾鎮頂竹圍22之1號前,死亡1;受傷2,普通重型-機車;普通重型-機車;自用-小客車
106年02月09日 14時03分00秒,臺南市六甲區國道3號 328公里南向內側,死亡1;受傷1,自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車
106年02月10日 11時35分00秒,高雄市大社區中正路前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車
106年02月10日 14時28分00秒,臺南市東區中華東路二段前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
106年02月10日 16時25分00秒,彰化縣伸港鄉彰新路7段 / 彰化縣伸港鄉彰新路,死亡1;受傷0,行人-人;營業用-曳引車
106年02月10日 20時30分00秒,南投縣竹山鎮江西路與集山路二段994巷口旁,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車
106年02月11日 02時29分00秒,臺東縣台東市中華路二段98號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車
106年02月11日 10時55分00秒,南投縣竹山鎮延和里集山路三段前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;營業用-大貨車
106年02月11日 16時40分00秒,基隆市七堵區大華二路40號前0.0公尺,死亡1;受傷1,行人-人;大型重型2(250-550C.C.)-機車;自用-小客車
106年02月12日 10時52分00秒,新北市三重區仁美街52號前0.0公尺,死亡1;受傷3,普通輕型-機車;普通重型-機車;乘客-人;乘客-人
106年02月12日 13時41分00秒,雲林縣崙背鄉台19與雲16鄉道路口,死亡1;受傷2,自用-小客車;普通輕型-機車;乘客-人
106年02月12日 22時38分00秒,基隆市七堵區明德二路1巷前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
106年02月12日 23時00分00秒,臺南市佳里區南27線1.3公里處北向一般車道,死亡1;受傷0,普通重型-機車
106年02月13日 08時59分00秒,彰化縣二林鎮八德路 / 彰化縣二林鎮明德街,死亡1;受傷0,營業用-大貨車;普通重型-機車
106年02月13日 15時30分00秒,臺南市歸仁區西埔一街 / 臺南市歸仁區西埔一街,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車
106年02月13日 18時10分00秒,彰化縣芬園鄉彰南路2段前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
106年02月13日 19時24分00秒,雲林縣麥寮鄉海豐村豐安路74號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
106年02月13日 20時57分00秒,臺北市南港區國道5號 北向交流道,死亡33;受傷11,遊覽車-大客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
106年02月14日 03時40分00秒,新竹縣湖口鄉國道1號 84公里300.0公尺處南向中線,死亡1;受傷3,營業用-大貨車;營業用-大貨車;營業用-小貨車(含客、貨兩用);乘客-人
106年02月14日 04時40分00秒,高雄市三民區九如一路前0.0公尺,死亡1;受傷0,自用-大貨車;行人-人
106年02月14日 17時20分00秒,臺南市歸仁區歸仁五路與高發二路口,死亡1;受傷0,自用-小客車;普通重型-機車
106年02月14日 17時50分00秒,高雄市大樹區溪埔路1巷口號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
106年02月15日 00時30分00秒,高雄市仁武區國道10號 5公里900.0公尺處西向內側,死亡1;受傷0,自用-小客車
106年02月15日 07時20分00秒,苗栗縣頭份市中正一路439號前,死亡1;受傷1,普通重型-機車;行人-人
106年02月15日 13時30分00秒,臺中市清水區海濱里臨港路五段前0.0公尺,死亡1;受傷1,自用-小客車;自用-曳引車;乘客-人
106年02月15日 14時10分00秒,高雄市旗山區台二九線路77公號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
106年02月15日 16時20分00秒,彰化縣芳苑鄉芳漢路芳２段前0.0公尺,死亡1;受傷1,普通重型-機車;營業用-半聯結車;營業用-半聯結車;乘客-人
106年02月15日 16時46分00秒,彰化縣田尾鄉公園路2段前0.0公尺,死亡1;受傷3,自用-小客車;腳踏自行車-慢車;乘客-人;乘客-人
106年02月16日 02時08分00秒,臺南市東區裕信路 / 臺南市東區裕文路,死亡1;受傷0,普通重型-機車;計程車-小客車
106年02月16日 11時10分00秒,臺東縣太麻里鄉台9 419公里300.0公尺處南向一般,死亡1;受傷0,普通重型-機車
106年02月16日 15時13分00秒,臺中市龍井區新庄里臺灣大道五段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;普通重型-機車
106年02月16日 18時27分00秒,基隆市七堵區大華二路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-半聯結車
106年02月16日 22時05分00秒,高雄市小港區中山四路以南8號前0.0公尺,死亡1;受傷1,普通重型-機車;普通輕型-機車
106年02月17日 14時58分00秒,桃園市大園區N106020219-竹圍所-1死,死亡1;受傷0,營業用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用)
106年02月17日 15時55分00秒,南投縣南投市三民里彰南路二段 / 南投縣南投市三民里藍田街,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
106年02月17日 16時38分00秒,臺南市安南區安明路 / 臺南市安南區安通路,死亡1;受傷1,自用-大貨車;大型重型1(550C.C.以上)-機車;乘客-人
106年02月18日 07時20分00秒,南投縣中寮鄉永平路前0.0公尺,死亡1;受傷0,普通重型-機車
106年02月18日 09時02分00秒,臺中市沙鹿區國道3號 178公里900.0公尺處北向外側路肩,死亡1;受傷0,自用-小客車;營業用-半聯結車
106年02月18日 16時10分00秒,彰化縣鹿港鎮彰濱五路1段 / 彰化縣鹿港鎮臨海路,死亡1;受傷0,普通重型-機車;自用-小客車
106年02月18日 21時58分00秒,澎湖縣馬公市204 1公里700.0公尺處西向外側,死亡1;受傷0,計程車-小客車;行人-人
106年02月19日 18時10分00秒,新竹縣新埔鎮新湖路前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車;自用-小客車;普通重型-機車
106年02月20日 05時19分00秒,彰化縣彰化市金馬東路 / 彰化縣彰化市彰興路,死亡1;受傷0,自用-小客車
106年02月20日 08時20分00秒,南投縣草屯鎮明正里芬草路一段 / 南投縣草屯鎮明正里忠孝街,死亡1;受傷0,普通輕型-機車;自用-小客車
106年02月20日 11時10分00秒,臺南市新市區港墘里民族路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
106年02月20日 20時10分00秒,臺東縣太麻里鄉台11 177公里900.0公尺處北向內側,死亡1;受傷0,租賃車-小客車
106年02月20日 23時05分00秒,桃園市新屋區中山東路一段171號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
106年02月20日 23時43分00秒,桃園市平鎮區義民里復旦路二段133號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
106年02月21日 05時07分00秒,桃園市楊梅區楊湖路三段 / 桃園市楊梅區高鐵南路,死亡1;受傷0,普通重型-機車;自用-小客車
106年02月21日 05時25分00秒,臺南市將軍區臺17線149公里800公尺處中央分隔島,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
106年02月21日 05時50分00秒,臺北市中正區新生南路1段前0.0公尺,死亡1;受傷0,計程車-小客車;普通重型-機車
106年02月21日 09時38分00秒,桃園市桃園區介壽路 / 桃園市桃園區德壽街,死亡1;受傷0,自用-小客車;普通重型-機車
106年02月21日 11時55分00秒,新竹市香山區延平路二段15號前0.0公尺,死亡1;受傷0,普通重型-機車;租賃車-小客車
