發生年度,發生月份,發生日期,發生時間,事故類別名稱,處理單位名稱警局層,發生地點,天候名稱,光線名稱,道路類別-第1當事者-名稱,速限-第1當事者,道路型態大類別名稱,道路型態子類別名稱,事故位置大類別名稱,事故位置子類別名稱,路面狀況-路面鋪裝名稱,路面狀況-路面狀態名稱,路面狀況-路面缺陷名稱,道路障礙-障礙物名稱,道路障礙-視距品質名稱,道路障礙-視距名稱,號誌-號誌種類名稱,號誌-號誌動作名稱,車道劃分設施-分向設施大類別名稱,車道劃分設施-分向設施子類別名稱,車道劃分設施-分道設施-快車道或一般車道間名稱,車道劃分設施-分道設施-快慢車道間名稱,車道劃分設施-分道設施-路面邊線名稱,事故類型及型態大類別名稱,事故類型及型態子類別名稱,肇因研判大類別名稱-主要,肇因研判子類別名稱-主要,死亡受傷人數,當事者順位,當事者區分-類別-大類別名稱-車種,當事者區分-類別-子類別名稱-車種,當事者屬-性-別名稱,當事者事故發生時年齡,保護裝備名稱,行動電話或電腦或其他相類功能裝置名稱,當事者行動狀態大類別名稱,當事者行動狀態子類別名稱,車輛撞擊部位大類別名稱-最初,車輛撞擊部位子類別名稱-最初,車輛撞擊部位大類別名稱-其他,車輛撞擊部位子類別名稱-其他,肇因研判大類別名稱-個別,肇因研判子類別名稱-個別,肇事逃逸類別名稱-是否肇逃,經度,緯度
2026,7,20260701,040600,A2,臺北市政府警察局,臺北市中山區中山北路3段 / 臺北市中山區撫順街,陰,有照明且開啟,市區道路,50,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,車道線(無標記),未繪設快慢車道分隔線,無,車與車,其他,駕駛者,無號誌路口，轉彎車未讓直行車先行,死亡0;受傷1,2,機車,普通重型,女,33,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,左側車身,,,駕駛者,未依規定減速,否,121.522278,25.064007
2026,7,20260701,040900,A2,彰化縣警察局,彰化縣二林鎮信義路(洪醒夫公園附近),晴,有照明未開啟或故障,鄉道,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,人與車,同向通行中,駕駛者,恍神、緊張、心不在焉分心駕駛,死亡0;受傷1,1,小客車(含客、貨兩用),自用,男,39,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右側車身,,,駕駛者,恍神、緊張、心不在焉分心駕駛,否,120.366683,23.893258
2026,7,20260701,040900,A2,彰化縣警察局,彰化縣二林鎮信義路(洪醒夫公園附近),晴,有照明未開啟或故障,鄉道,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,人與車,同向通行中,駕駛者,恍神、緊張、心不在焉分心駕駛,死亡0;受傷1,2,人,行人,男,67,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽、機及自行車,,,非駕駛者,其他引起事故之疏失或行為,否,120.366683,23.893258
2026,7,20260701,042043,A2,嘉義縣警察局,嘉義縣竹崎鄉義仁村166線43.3K,晴,有照明且開啟,縣道,60,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,無,無分向設施,車道線(無標記),未繪設快慢車道分隔線,有,車輛本身,衝出路外,駕駛者,打瞌睡或疲勞駕駛(包括連續駕車8小時),死亡0;受傷1,1,小客車(含客、貨兩用),自用,男,41,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,,,駕駛者,打瞌睡或疲勞駕駛(包括連續駕車8小時),否,120.511429,23.507719
2026,7,20260701,042043,A2,嘉義縣警察局,嘉義縣竹崎鄉義仁村166線43.3K,晴,有照明且開啟,縣道,60,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,無,無分向設施,車道線(無標記),未繪設快慢車道分隔線,有,車輛本身,衝出路外,駕駛者,打瞌睡或疲勞駕駛(包括連續駕車8小時),死亡0;受傷1,2,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.511429,23.507719
2026,7,20260701,044500,A2,臺中市政府警察局,臺中市梧棲區大庄里臺灣大道八段 / 臺中市梧棲區大庄里文匯街,晴,有照明且開啟,市區道路,40,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車輛本身,路上翻車、摔倒,駕駛者,超速駕駛,死亡0;受傷1,1,機車,普通重型,女,51,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,右側車身,,,駕駛者,超速駕駛,否,120.546655,24.246005
2026,7,20260701,044500,A2,臺中市政府警察局,臺中市梧棲區大庄里臺灣大道八段 / 臺中市梧棲區大庄里文匯街,晴,有照明且開啟,市區道路,40,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車輛本身,路上翻車、摔倒,駕駛者,超速駕駛,死亡0;受傷1,2,,,無或物(動物、堆置物),0,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.546655,24.246005
2026,7,20260701,051800,A2,彰化縣警察局,彰化縣彰化市中華西路178號前,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,中央分向島,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,車與車,追撞,無(車輛駕駛者因素),尚未發現肇事因素,死亡0;受傷1,1,小客車(含客、貨兩用),自用,女,62,繫安全帶(使用幼童安全椅),未使用,車的狀態,右轉彎,汽車,前車頭,汽車,前車頭,無(車輛駕駛者因素),尚未發現肇事因素,否,120.531051,24.072899
2026,7,20260701,051800,A2,彰化縣警察局,彰化縣彰化市中華西路178號前,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,中央分向島,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,車與車,追撞,無(車輛駕駛者因素),尚未發現肇事因素,死亡0;受傷1,2,機車,普通重型,男,53,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,後車尾,機車與自行車,右側車身,無(車輛駕駛者因素),尚未發現肇事因素,否,120.531051,24.072899
2026,7,20260701,054000,A2,高雄市政府警察局,高雄市三民區昌裕街 / 高雄市三民區金鼎路,晴,有照明未開啟或故障,市區道路,50,交岔路,多岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,無標記,未繪設車道線,快慢車道分隔線,有,車與車,側撞,駕駛者,違反禁止迴轉或迴車標誌,死亡0;受傷1,1,小客車(含客、貨兩用),計程車,男,57,繫安全帶(使用幼童安全椅),未使用,車的狀態,迴轉或橫越道路中,汽車,前車頭,,,駕駛者,違反禁止迴轉或迴車標誌,否,120.331561,22.658180
