發生時間,發生地點,死亡受傷人數,車種
105年01月08日 09時45分00秒,雲林縣口湖鄉台17線與水井路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
105年01月08日 10時41分00秒,新北市瑞芳區明燈路1段23號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車
105年01月08日 17時09分00秒,臺中市西屯區潮洋里龍德路二段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
105年01月08日 19時10分00秒,雲林縣斗南鎮靖興里延平路三段175號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;營業用-曳引車
105年01月09日 05時05分00秒,臺東縣台東市豐原街478巷10097650號電桿處,死亡1;受傷0,普通重型-機車
105年01月09日 11時15分00秒,桃園市蘆竹區坑口里南山北路二段前0.0公尺,死亡1;受傷0,普通重型-機車
105年01月09日 11時53分00秒,臺中市烏日區螺潭里溪南路二段68巷前0.0公尺,死亡1;受傷0,營業用-半聯結車;普通重型-機車
105年01月09日 14時10分00秒,南投縣埔里鎮信義路 / 南投縣埔里鎮中華路,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
105年01月10日 06時32分00秒,雲林縣麥寮鄉中興村工業路前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
105年01月10日 08時00分00秒,臺南市善化區臺1線北上310.7公里處,死亡1;受傷0,普通重型-機車;自用-大貨車
105年01月10日 09時40分00秒,屏東縣東港鎮興東路65-12號,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
105年01月10日 19時26分00秒,高雄市岡山區為隨路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月10日 20時32分00秒,桃園市八德區興仁里中山一路82-1號前0.0公尺,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人
105年01月10日 23時00分00秒,雲林縣虎尾鎮興中里清雲路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
105年01月11日 05時59分00秒,新竹市東區光復路二段481號前0.0公尺,死亡1;受傷0,自用-小客車;拼裝車-其他車
105年01月11日 06時22分00秒,彰化縣和美鎮彰草路3段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車
105年01月11日 07時36分00秒,嘉義縣東石鄉166 4公里100.0公尺處東向一般,死亡1;受傷1,普通重型-機車;自用-小客車
105年01月11日 11時27分00秒,新北市板橋區臺65線道路前0.0公尺,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人;自用-小客車
105年01月11日 13時23分00秒,花蓮縣吉安鄉華工六路 / 花蓮縣吉安鄉南濱路一段,死亡3;受傷0,自用-曳引車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人
105年01月11日 21時08分00秒,新北市樹林區大安路前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
105年01月12日 01時26分00秒,新北市淡水區中正路1段87巷前0.0公尺,死亡1;受傷4,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人
105年01月12日 07時29分00秒,彰化縣彰化市師大路前0.0公尺,死亡1;受傷0,民營客運-大客車;普通重型-機車
105年01月12日 19時53分00秒,臺南市白河區172 32公里600.0公尺處西向外側,死亡1;受傷0,普通重型-機車
105年01月13日 02時00分00秒,臺東縣台東市建農里知本路二段 / 臺東縣台東市建農里育樂路,死亡1;受傷0,普通重型-機車;營業用-大貨車
105年01月13日 04時43分00秒,高雄市旗山區旗南三路167號前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車
105年01月13日 12時38分00秒,桃園市楊梅區民生路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車
105年01月14日 10時58分00秒,臺中市北區賴厝里漢口路四段214號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
105年01月14日 20時43分00秒,新竹縣湖口鄉成功路 / 新竹縣湖口鄉八德路,死亡1;受傷0,自用-小客車
105年01月15日 02時52分00秒,新北市板橋區民權路前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
105年01月15日 19時18分00秒,臺中市清水區鰲新路111巷前0.0公尺,死亡1;受傷1,其他車-其他車;普通重型-機車;自用-小客車
105年01月15日 19時35分00秒,臺北市大安區敦化南路1段289號前0.0公尺,死亡1;受傷0,租賃車-小客車;行人-人
105年01月15日 22時17分00秒,臺中市烏日區,死亡1;受傷0,行人-人;火車-其他車
105年01月16日 09時01分00秒,桃園市大溪區介壽路570號前0.0公尺,死亡1;受傷0,普通重型-機車
105年01月16日 09時30分00秒,南投縣仁愛鄉台14 72公里550.0公尺處東向外側,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人
105年01月16日 09時32分00秒,臺中市清水區國道4號 4公里400.0公尺處西向外側路肩,死亡1;受傷0,自用-小客車;自用-小客車
105年01月16日 13時03分00秒,嘉義縣水上鄉水上村中華路199巷50號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
105年01月16日 14時10分00秒,新竹縣關西鎮錦山20-5號,死亡1;受傷1,大型重型1(550C.C.以上)-機車;行人-人;營業用-大貨車
105年01月16日 16時30分00秒,臺南市新市區大社288號前路口,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月17日 09時40分00秒,臺北市萬華區華中橋路前0.0公尺,死亡1;受傷0,行人-人;普通輕型-機車
105年01月17日 10時19分00秒,新北市新莊區大漢橋路前0.0公尺,死亡1;受傷0,普通重型-機車
105年01月17日 11時59分00秒,彰化縣二林鎮斗苑路2段前0.0公尺,死亡1;受傷3,自用-小客車;計程車-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人
105年01月17日 17時43分00秒,屏東縣恆春鎮砂尾路段(墾4-1道路21公里處),死亡1;受傷1,普通重型-機車;自用-小客車
105年01月17日 17時55分00秒,新北市樹林區中山路2段235號前0.0公尺,死亡1;受傷0,行人-人;計程車-小客車;自用-小客車;自用-小客車
105年01月17日 19時43分00秒,宜蘭縣羅東鎮博愛路16號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
105年01月17日 20時51分00秒,高雄市橋頭區成功北路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月18日 01時44分00秒,新竹市東區東大路一段 / 新竹市東區北大路,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月18日 07時55分00秒,雲林縣麥寮鄉六輕工業區東環路220路燈桿,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
105年01月18日 08時27分00秒,花蓮縣花蓮市化道路120號前(美崙所轄區),死亡1;受傷1,自用-小客車;行人-人;行人-人
105年01月18日 12時40分00秒,屏東縣屏東市高屏大橋慢車道往高雄方向,死亡1;受傷1,普通重型-機車;行人-人
105年01月18日 13時33分00秒,雲林縣西螺鎮市場南路振社34電桿前,死亡1;受傷0,普通重型-機車;自用-大貨車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用)
105年01月18日 16時45分00秒,南投縣水里鄉台21 85公里400.0公尺處南向外側,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人
105年01月18日 17時06分00秒,嘉義縣水上鄉柳子林1162號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);營業用-小貨車(含客、貨兩用)
105年01月19日 06時25分00秒,臺北市士林區至善路2段321號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
105年01月19日 08時15分00秒,臺北市中山區八德路2段前0.0公尺,死亡1;受傷0,自用-小客車;民營客運-大客車;普通重型-機車;其他人-人
105年01月19日 12時13分00秒,南投縣魚池鄉台21線60.4公里（魚池往水社）,死亡1;受傷1,自用-小客車;乘客-人
105年01月19日 15時44分00秒,臺南市北區公園北路 / 臺南市北區北門路二段,死亡1;受傷0,營業用-全聯結車;腳踏自行車-慢車
105年01月19日 18時26分00秒,雲林縣虎尾鎮廉使國小旁路口,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月19日 19時39分00秒,新北市板橋區中山路2段505巷34號前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人
105年01月19日 21時30分00秒,屏東縣佳冬鄉台一線(南向)與文化路口。,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
105年01月20日 06時00分00秒,臺中市大甲區江南里經國路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月20日 06時10分00秒,新北市瑞芳區臺2線道路前0.0公尺,死亡1;受傷0,行人-人;營業用-曳引車
105年01月20日 07時45分00秒,臺中市西屯區科園路機車專用道(科園路R56路燈),死亡1;受傷0,普通重型-機車
105年01月20日 13時05分00秒,高雄市橋頭區成功北路前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車
105年01月20日 18時06分00秒,臺中市霧峰區北柳里新厝路227號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車
105年01月21日 00時25分00秒,新北市土城區學府路1段前0.0公尺,死亡1;受傷1,人力車-慢車;普通重型-機車
105年01月21日 03時30分00秒,基隆市中山區中華路前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
105年01月21日 06時48分00秒,高雄市大寮區光明路3段210號前0.0公尺,死亡1;受傷0,普通重型-機車
105年01月21日 07時30分00秒,苗栗縣苗栗市橋頭北1號旁﹝衛福部苗栗醫院側門旁﹞,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
105年01月21日 20時32分00秒,彰化縣鹿港鎮,死亡1;受傷0,自用-小客車
105年01月21日 21時10分00秒,彰化縣埤頭鄉彰興路前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-大貨車
105年01月21日 22時35分00秒,桃園市八德區東勇北路146號前0.0公尺,死亡1;受傷3,普通重型-機車;自用-小客車;乘客-人;乘客-人
105年01月21日 23時50分00秒,臺中市東區東信里旱溪東路一段 / 臺中市東區東信里一心西街,死亡1;受傷1,租賃車-小客車;普通重型-機車
105年01月22日 10時44分00秒,新北市泰山區新北大道7段28號前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車
105年01月22日 15時20分00秒,花蓮縣吉安鄉吉安路一段71號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月22日 17時50分00秒,花蓮縣瑞穗鄉台9 278公里400.0公尺處北向內側,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
105年01月22日 17時50分00秒,宜蘭縣冬山鄉廣興大橋東端冬山鄉路燈57055號,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月22日 20時49分00秒,臺南市南區金華路一段 / 臺南市南區金華路一段,死亡1;受傷1,普通重型-機車;行人-人
105年01月22日 21時18分00秒,臺南市白河區172線29.9公里,死亡1;受傷0,營業用-大貨車
105年01月23日 02時10分00秒,彰化縣鹿港鎮,死亡1;受傷0,自用-小貨車(含客、貨兩用)
105年01月23日 03時16分00秒,臺中市西屯區臺灣大道三段 / 臺中市西屯區朝富二街,死亡1;受傷0,自用-小客車;行人-人
105年01月23日 05時15分00秒,雲林縣麥寮鄉中山路427巷(麥寮24南11A電桿),死亡1;受傷1,自用-小客車;乘客-人
105年01月23日 06時11分00秒,嘉義縣竹崎鄉灣橋146號前,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
105年01月23日 21時20分00秒,彰化縣埔鹽鄉成功路1段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月24日 05時10分00秒,臺北市大安區仁愛路3段前0.0公尺,死亡1;受傷0,普通重型-機車
105年01月24日 06時08分00秒,彰化縣溪湖鎮彰水路4段前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月24日 08時40分00秒,嘉義縣水上鄉二重溝嘉南大圳灌溉溝圳支線旁,死亡1;受傷0,自用-小客車
105年01月25日 05時20分00秒,臺中市大甲區西岐里西濱快速公路 / 臺中市大甲區西岐里順帆路,死亡1;受傷1,行人-人;自用-小客車
105年01月25日 07時35分00秒,臺南市後壁區國道1號 277公里680.0公尺處北向外側,死亡1;受傷0,自用-小客車
105年01月25日 21時48分00秒,新北市板橋區板城路268號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
105年01月26日 12時50分00秒,臺東縣成功鎮忠孝里美山段,死亡1;受傷0,普通重型-機車;遊覽車-大客車
105年01月26日 13時20分00秒,臺東縣台東市正氣北路、大業路口,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月26日 14時00分00秒,高雄市三民區建國一路392號前0.0公尺,死亡1;受傷1,自用-大貨車;普通重型-機車;自用-小客車;乘客-人
105年01月26日 14時25分00秒,高雄市茄萣區正大路路燈編號前0.0公尺,死亡1;受傷0,普通重型-機車
105年01月26日 14時59分00秒,桃園市大溪區復興路二段318號前0.0公尺,死亡1;受傷0,營業用-曳引車;大型重型1(550C.C.以上)-機車
105年01月27日 06時16分00秒,臺北市南港區研究院路1段前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用)
105年01月27日 07時50分00秒,屏東縣長治鄉潭頭路與香潭二街街口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
105年01月27日 08時56分00秒,新北市土城區金城路3段216號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;動力機械-其他車;乘客-人
105年01月27日 10時25分00秒,臺中市南屯區文山里向上路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-大貨車
105年01月27日 14時38分00秒,花蓮縣吉安鄉東海六街 / 花蓮縣吉安鄉東里四街,死亡1;受傷0,普通輕型-機車;計程車-小客車
105年01月27日 18時39分00秒,臺南市柳營區八翁里中山西路三段848巷前0.0公尺,死亡1;受傷0,營業用-大貨車;行人-人
105年01月27日 19時22分00秒,臺中市北屯區民德里東山路二段250巷前0.0公尺,死亡1;受傷0,農耕用車(或機械)-其他車;自用-小客車
105年01月27日 23時30分00秒,臺南市歸仁區民權北路、國光街-路口,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車
105年01月28日 07時10分00秒,新北市泰山區楓江路148號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車
105年01月28日 09時48分00秒,高雄市茄萣區莒光路2段路燈4號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
105年01月28日 12時18分00秒,臺南市安南區慶和路一段前0.0公尺,死亡1;受傷0,普通重型-機車
105年01月28日 20時10分00秒,臺中市烏日區國道1號 185公里700.0公尺處北向內側,死亡1;受傷0,自用-小客車;自用-小客車;其他人-人;自用-小客車;自用-小客車;民營客運-大客車
105年01月29日 01時30分00秒,臺北市北投區文林北路前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
105年01月29日 09時29分00秒,桃園市八德區大信里興豐路1216號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
105年01月29日 10時04分00秒,臺北市松山區民權東路4段36號前0.0公尺,死亡1;受傷1,租賃車-小客車;拼裝車-其他車
105年01月29日 13時00分00秒,嘉義縣民雄鄉國道1號 259公里700.0公尺處北向外側,死亡1;受傷0,營業用-半聯結車;自用-大貨車;其他人-人
105年01月29日 13時18分00秒,高雄市路竹區中山路前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用)
105年01月30日 01時11分00秒,臺東縣台東市中興路二段729號旁路口,死亡1;受傷1,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
105年01月30日 04時16分00秒,新竹市北區中華路一段前0.0公尺,死亡1;受傷0,行人-人;自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車
105年01月30日 07時23分00秒,苗栗縣竹南鎮大埔里中華路6號前0.0公尺,死亡1;受傷0,營業用-曳引車;自用-小客車;自用-小客車;普通重型-機車
105年01月30日 07時35分00秒,雲林縣東勢鄉永安路1號(馬山厝19號電桿),死亡1;受傷0,普通輕型-機車
105年01月30日 08時26分00秒,彰化縣伸港鄉興工路 / 彰化縣伸港鄉工五路,死亡1;受傷0,腳踏自行車-慢車;自用-曳引車
105年01月30日 09時43分00秒,雲林縣斗六市中南路前0.0公尺,死亡1;受傷0,普通輕型-機車
105年01月30日 10時20分00秒,臺北市信義區基隆路地下道前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
105年01月30日 16時22分00秒,臺中市新社區中正里中和街五段56號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月30日 19時55分00秒,臺南市玉井區臺20 35公里東向路肩,死亡1;受傷0,普通重型-機車
105年01月31日 03時47分00秒,新竹縣寶山鄉國道1號 97公里300.0公尺處北向外側,死亡1;受傷0,營業用-半聯結車;營業用-半聯結車
105年01月31日 06時06分00秒,臺中市南區長春里復興路三段 / 臺中市南區長春里民意街,死亡1;受傷0,自用-小客車;行人-人
105年01月31日 18時00分00秒,臺南市將軍區南19線5.4公里路口,死亡1;受傷0,自用-小客車;行人-人
105年01月31日 19時14分00秒,嘉義縣民雄鄉嘉76 4公里600.0公尺處東向一般,死亡1;受傷0,普通重型-機車
105年01月31日 21時09分00秒,新北市八里區中山路3段前0.0公尺,死亡1;受傷1,自用-小客車;普通輕型-機車
105年02月01日 15時50分00秒,臺中市龍井區龍昌路台中火力發電廠前,死亡1;受傷0,普通重型-機車
105年02月02日 00時18分00秒,高雄市林園區工業二路前0.0公尺,死亡1;受傷0,營業用-大貨車;行人-人
105年02月02日 08時24分00秒,桃園市中壢區中豐北路 / 桃園市中壢區民權路,死亡1;受傷0,自用-大貨車;普通輕型-機車
105年02月02日 17時07分00秒,臺北市士林區承德路4段前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
105年02月02日 20時10分00秒,臺南市將軍區漁港聯外道與173甲線北上路口,死亡1;受傷5,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人
105年02月03日 11時39分00秒,雲林縣莿桐鄉台1 246公里350.0公尺處北向外側,死亡1;受傷0,自用-小客車
105年02月03日 17時15分00秒,屏東縣東港鎮台17 259公里200.0公尺處南向外側,死亡1;受傷0,租賃車-小客車;普通重型-機車;自用-小貨車(含客、貨兩用)
105年02月03日 20時40分00秒,雲林縣二崙鄉台19線40公里處,死亡1;受傷0,行人-人;自用-小客車
105年02月03日 21時37分00秒,臺北市內湖區民權東路6段前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人
105年02月04日 12時16分00秒,苗栗縣頭份市親民路與台三線路口,死亡1;受傷1,普通重型-機車;自用-大貨車;乘客-人
105年02月04日 14時00分00秒,雲林縣斗南鎮延平路3段(石龜里豐田枝電桿59號前水溝),死亡1;受傷0,普通重型-機車
105年02月04日 16時40分00秒,臺中市大雅區西寶里雅潭路三段前0.0公尺,死亡1;受傷1,民營公車-大客車;普通重型-機車;乘客-人
105年02月05日 04時39分00秒,桃園市楊梅區楊明里中山北路一段470號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車;營業用-曳引車
105年02月05日 09時55分00秒,臺中市潭子區潭北里人和路42號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
105年02月05日 11時57分00秒,新竹市東區台68快速道路9.6K,死亡1;受傷0,自用-小客車;營業用-曳引車
105年02月05日 13時12分00秒,花蓮縣花蓮市濟慈路 / 花蓮縣花蓮市中山路一段,死亡1;受傷0,行人-人;自用-小客車;行人-人
105年02月05日 16時35分00秒,嘉義縣鹿草鄉台電桿(後堀41A分13A分25A分10N1277DA74),死亡1;受傷0,普通重型-機車
105年02月05日 19時38分00秒,臺東縣東河鄉隆昌段,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
105年02月05日 23時35分00秒,高雄市鼓山區馬卡道路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
105年02月06日 03時53分00秒,新竹市東區自由路 / 新竹市東區民主路,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
105年02月06日 05時15分00秒,高雄市小港區松興路前0.0公尺,死亡1;受傷0,普通重型-機車
105年02月06日 05時48分00秒,臺北市中正區羅斯福路3段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
105年02月06日 05時50分00秒,雲林縣莿桐鄉台一線與三和路口,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車
105年02月06日 06時55分00秒,高雄市鳳山區新富路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
105年02月06日 17時28分00秒,桃園市大溪區埔頂路一段447號前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車;自用-小客車;自用-小客車
105年02月07日 05時54分00秒,宜蘭縣羅東鎮公正路 / 宜蘭縣羅東鎮中華路,死亡1;受傷0,普通重型-機車;民營客運-大客車
105年02月07日 06時04分00秒,花蓮縣玉里鎮圓環內東北側,死亡1;受傷0,行人-人;民營客運-大客車
105年02月07日 08時30分00秒,新竹市東區光復路一段89巷103號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
105年02月07日 12時50分00秒,桃園市大溪區康莊路643-7號前0.0公尺,死亡1;受傷0,普通重型-機車
105年02月07日 13時30分00秒,臺東縣台東市臨海路一段 / 臺東縣台東市桂林南路,死亡1;受傷0,普通輕型-機車;自用-小客車
105年02月08日 07時22分00秒,南投縣魚池鄉台21 63公里900.0公尺處南向內側,死亡1;受傷0,大型重型2(250-550C.C.)-機車;普通重型-機車
105年02月08日 10時00分00秒,南投縣埔里鎮西安路一段539號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
105年02月08日 12時41分00秒,彰化縣線西鄉線伸路 / 彰化縣線西鄉東興路,死亡2;受傷1,自用-小貨車(含客、貨兩用);普通輕型-機車;乘客-人
105年02月08日 18時51分00秒,高雄市大寮區高屏大橋路前0.0公尺,死亡1;受傷1,大型重型2(250-550C.C.)-機車;普通重型-機車;乘客-人
105年02月09日 06時46分00秒,苗栗縣造橋鄉8.4公里處,死亡1;受傷2,自用-小貨車(含客、貨兩用);自用-小客車;乘客-人
105年02月09日 12時00分00秒,雲林縣莿桐鄉新庄路1-10號前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車
105年02月09日 13時05分00秒,基隆市信義區信一路12號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
105年02月09日 16時58分00秒,新竹縣橫山鄉橫山鄉豐田村河堤道路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
105年02月09日 18時54分00秒,臺北市士林區中山北路5段前0.0公尺,死亡1;受傷2,大型重型2(250-550C.C.)-機車;行人-人;乘客-人
